"level_1","level_2","level_3","level_4","level","lowest_cause","cause_name","rei_level_1","rei_level_2","rei_level","rei_name","Incidence","Pct_of_Ecode_Resulting_in_Ncode","Pct_of_Ncode_from_lowest_Ecodes"
"Injuries",NA,NA,NA,1,0,"Injuries","Amputations",NA,1,"Amputations",13232846.4782142,1.853501956669,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Amputations","Amputation of lower limbs, bilateral",2,"Amputation of lower limbs, bilateral",217309.261196964,0.0304381329817426,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Amputations","Amputation of upper limbs, bilateral",2,"Amputation of upper limbs, bilateral",302554.563044874,0.0423782952160787,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Amputations","Amputation of fingers (excluding thumb)",2,"Amputation of fingers (excluding thumb)",5896901.29702943,0.825968782326796,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Amputations","Amputation of lower limb, unilateral",2,"Amputation of lower limb, unilateral",1126511.78068555,0.157788559940516,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Amputations","Amputation of upper limb, unilateral",2,"Amputation of upper limb, unilateral",321259.669369567,0.0449982871603365,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Amputations","Amputation of thumb",2,"Amputation of thumb",2842891.32259945,0.398198878654754,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Amputations","Amputation of toe/toes",2,"Amputation of toe/toes",2525418.58428838,0.353731020388779,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Burns",NA,1,"Burns",16339833.4116601,2.28869225151357,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Burns","Lower airway burns",2,"Lower airway burns",254269.149076567,0.0356150406573432,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Burns","Burns, <20% total burned surface area without lower airway burns",2,"Burns, <20% total burned surface area without lower airway burns",14584119.5475266,2.04277244220574,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Burns","Burns, >=20% total burned surface area or >= 10% burned surface area if head/neck or hands/wrist involved w/o lower airway burns",2,"Burns, >=20% total burned surface area or >= 10% burned surface area if head/neck or hands/wrist involved w/o lower airway burns",1501444.71505689,0.210304768650488,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures",NA,1,"Fractures",178236069.930577,24.9652185498565,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of clavicle, scapula, or humerus",2,"Fracture of clavicle, scapula, or humerus",19349817.1732204,2.71029547957028,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of face bones",2,"Fracture of face bones",10676336.1092662,1.49541596369002,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of foot bones except ankle",2,"Fracture of foot bones except ankle",10683953.5412891,1.49648292424023,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of hand (wrist and other distal part of hand)",2,"Fracture of hand (wrist and other distal part of hand)",18971045.667312,2.65724160877328,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of hip",2,"Fracture of hip",14243777.4563683,1.99510131317561,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of patella, tibia or fibula, or ankle",2,"Fracture of patella, tibia or fibula, or ankle",32682031.5551599,4.57771572693269,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of pelvis",2,"Fracture of pelvis",6041574.26986457,0.846232875820855,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of radius and/or ulna",2,"Fracture of radius and/or ulna",30665248.4321956,4.29522839733617,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of skull",2,"Fracture of skull",7594559.29605699,1.06375680685597,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of sternum and/or fracture of one or more ribs",2,"Fracture of sternum and/or fracture of one or more ribs",4109551.36997372,0.575617764312339,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of vertebral column",2,"Fracture of vertebral column",8579298.71226315,1.20168755650625,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Fractures","Fracture of femur, other than femoral neck",2,"Fracture of femur, other than femoral neck",14638876.3476069,2.05044213264284,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Head Injuries",NA,1,"Head Injuries",27160708.2377355,3.80435350368792,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Head Injuries","Minor TBI",2,"Minor TBI",12668525.2361819,1.77445845472716,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Head Injuries","Moderate/Severe TBI",2,"Moderate/Severe TBI",14492183.0015536,2.02989504896076,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Spinal Injuries",NA,1,"Spinal Injuries",909000.511295914,0.127322132020039,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Spinal Injuries","Spinal cord lesion at neck level",2,"Spinal cord lesion at neck level",492278.397349332,0.0689525850855335,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Spinal Injuries","Spinal cord lesion below neck level",2,"Spinal cord lesion below neck level",416722.113946583,0.0583695469345058,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Minor Injuries",NA,1,"Minor Injuries",281775159.122878,39.4677599891157,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Minor Injuries","Muscle and tendon injuries, including sprains and strains lesser dislocations",2,"Muscle and tendon injuries, including sprains and strains lesser dislocations",87552927.3066797,12.2633873477031,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Minor Injuries","Foreign body in ear",2,"Foreign body in ear",3689115.1920273,0.516727994846556,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Minor Injuries","Open wound(s)",2,"Open wound(s)",104677096.34021,14.6619401354373,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Minor Injuries","Contusion in any part of the body",2,"Contusion in any part of the body",36771133.6898021,5.15046920216241,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Minor Injuries","Superficial injury of any part of the body",2,"Superficial injury of any part of the body",49084886.5941585,6.87523530896631,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries",NA,1,"Other Injuries",196283933.363451,27.4931516171372,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Dislocation of hip",2,"Dislocation of hip",2972700.6957813,0.416381053410778,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Dislocation of knee",2,"Dislocation of knee",3617355.54656298,0.506676745215801,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Dislocation of shoulder",2,"Dislocation of shoulder",5844809.76503388,0.818672411388117,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Foreign body in respiratory system",2,"Foreign body in respiratory system",5021093.80842233,0.703295939679437,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Foreign body in GI and urogenital system",2,"Foreign body in GI and urogenital system",7647208.39154248,1.07113127474992,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Drowning and nonfatal submersion",2,"Drowning and nonfatal submersion",2188605.55658908,0.306554201183626,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Asphyxiation",2,"Asphyxiation",1779073.48398141,0.249191750924211,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Crush injury",2,"Crush injury",846454.060871715,0.118561358709866,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Nerve injury",2,"Nerve injury",5018274.12482629,0.702900991466969,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Injury to eyes",2,"Injury to eyes",59933293.0505952,8.39475286906572,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Poisoning requiring urgent care",2,"Poisoning requiring urgent care",32999833.8293183,4.62222974271578,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Severe chest Injury",2,"Severe chest Injury",7953385.66909163,1.11401699733117,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Internal hemorrhage in abdomen and pelvis",2,"Internal hemorrhage in abdomen and pelvis",12970234.2286943,1.81671831233883,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Effect of different environmental factors",2,"Effect of different environmental factors",6443075.81130859,0.902470503446724,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Complications following therapeutic procedures",2,"Complications following therapeutic procedures",32674350.4058911,4.57663984161786,NA
"Injuries",NA,NA,NA,1,0,"Injuries","Other Injuries","Multiple fractures, dislocations, crashes, wounds, pains, and strains",2,"Multiple fractures, dislocations, crashes, wounds, pains, and strains",8374184.93494007,1.17295762389243,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Amputations",NA,1,"Amputations",1730227.480705,1.62153250254768,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Amputations","Amputation of lower limbs, bilateral",2,"Amputation of lower limbs, bilateral",46773.4189221017,0.0438350563051759,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Amputations","Amputation of upper limbs, bilateral",2,"Amputation of upper limbs, bilateral",60434.6358834934,0.0566380591324262,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Amputations","Amputation of fingers (excluding thumb)",2,"Amputation of fingers (excluding thumb)",549248.211208737,0.514743775817411,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Amputations","Amputation of lower limb, unilateral",2,"Amputation of lower limb, unilateral",344366.601020231,0.322733075606131,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Amputations","Amputation of upper limb, unilateral",2,"Amputation of upper limb, unilateral",76077.9886329509,0.0712986775857455,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Amputations","Amputation of thumb",2,"Amputation of thumb",288196.001203107,0.270091180649086,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Amputations","Amputation of toe/toes",2,"Amputation of toe/toes",365130.623834383,0.342192677451704,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Burns",NA,1,"Burns",1308710.07147969,1.22649532560374,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Burns","Lower airway burns",2,"Lower airway burns",47104.9678299059,0.0441457769105206,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Burns","Burns, <20% total burned surface area without lower airway burns",2,"Burns, <20% total burned surface area without lower airway burns",916880.533310766,0.859280991832855,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Burns","Burns, >=20% total burned surface area or >= 10% burned surface area if head/neck or hands/wrist involved w/o lower airway burns",2,"Burns, >=20% total burned surface area or >= 10% burned surface area if head/neck or hands/wrist involved w/o lower airway burns",344724.57033902,0.323068556860362,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures",NA,1,"Fractures",38296946.7021923,35.8910862984546,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of clavicle, scapula, or humerus",2,"Fracture of clavicle, scapula, or humerus",4317099.63705789,4.04589422852872,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of face bones",2,"Fracture of face bones",2153089.36641758,2.01782969434361,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of foot bones except ankle",2,"Fracture of foot bones except ankle",1810015.92241057,1.69630853806671,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of hand (wrist and other distal part of hand)",2,"Fracture of hand (wrist and other distal part of hand)",2646840.78477167,2.48056305280001,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of hip",2,"Fracture of hip",1996216.40539922,1.87081168203085,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of patella, tibia or fibula, or ankle",2,"Fracture of patella, tibia or fibula, or ankle",9561484.65820785,8.96082065439026,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of pelvis",2,"Fracture of pelvis",1663515.60729846,1.55901154952797,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of radius and/or ulna",2,"Fracture of radius and/or ulna",5255270.56771298,4.92512812925418,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of skull",2,"Fracture of skull",1861695.63780614,1.7447416713806,NA
"Injuries","Transport injuries",NA,NA,2,0,"Transport injuries","Fractures","Fracture of sternum and/or fracture of one or more ribs",2,"Fracture of sternum and/or fracture of one or more ribs",964784.60759687,0.904175674367735,NA
